BOOB豐胸霜	非廠商/李玟		07 28 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  5 2015 12:00AM	網路	PC Home商店街	未違規結案	
雲南瑤浴瑤族熏蒸藥包排毒養顏加強版	非廠商/沈秀燕		05 26 2015 12:00AM		廣告違規	02  6 2015 12:00AM	網路	露天拍賣	輔導結案	
纖維式 假髮 髮片Newtop 補充包75g	麗友興業有限公司/		06 12 2015 12:00AM		廣告內容宣稱誇大療效	02 16 2015 12:00AM	網路	雅虎奇摩拍賣	未違規結案	
蝴蝶蘭保濕活膚精華霜	京極股份有限公司/		08 10 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	05 11 2015 12:00AM	網路	http://www.web66.com.tw/ch/61/CW1102/N/1102556.html	未違規結案	
柔軟淨化液 神水	非廠商/陳美任(lenna)		07 15 2015 12:00AM	化粧品衛生管理條例第24條第2項化粧品衛生管理條例第24條第1項	傳播業者刊登或宣播未經核准之廣告	05 13 2015 12:00AM	網路	露天拍賣	未違規結案	
elora韓國超級修護抗皺神器只60秒見效	非廠商/范釗傑(jayetpe)		07 16 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規廣告內容誇大不實	05 13 2015 12:00AM	網路	露天拍賣	未違規結案	
PayEasy美白 色修捷白植物精華液 柳燕老師推薦	康迅數位整合股份有限公司/詹宏志			化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	01 20 2015 12:00AM	網路		未違規結案	
雅漾舒緩乾癢霜	統一藥品股份有限公司/無		09 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 15 2015 12:00AM	網路	雅漾	未違規結案	
艾芙美系列產品	華妍生活藥妝有限公司/		09 25 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	05 15 2015 12:00AM	網路	台灣雷射美容藥妝館	相關案件已處分	
溫泉舒緩噴霧	台灣萊雅股份有限公司/		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	05 15 2015 12:00AM	網路	薇姿	未違規結案	
塔莎 酒釀酵母去角質噴霧	瑞盛國際化妝品股份有限公司/		06 15 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 18 2015 12:00AM	網路	台灣黃頁	未違規結案	
女王欽點蘭花眼露 + 飛天蘭晶	靓水堂生物科技股份有限公司/陳開憲		08 10 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	05 18 2015 12:00AM	網路	好物市集	未違規結案	
極光白潤肌CC霜	米該亞/		11 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 19 2015 12:00AM	網路	MICAYA米該亞植研	未違規結案	
EMMA 美白霜	非廠商/陳冠伶		07 27 2015 12:00AM		廣告違規	05 13 2015 12:00AM	網路	露天拍賣網站	輔導結案	
瑞士Blue蝸牛霜 淡斑 保濕 補水 冰鎮 修復 肌膚快速再生	非廠商/陳冠伶		07 27 2015 12:00AM		廣告違規	05 13 2015 12:00AM	網路	露天拍賣網站	輔導結案	
火山泥淨化面膜 .大罐裝150ml..控油 /抗痘/雪白.加碼五重送)五片眼膜/一盒	菁彩有限公司/		06 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	03 17 2015 12:00AM	網路	露天拍賣	未違規結案	
蕃茄君藏寶閣~泰國 ㊣ NATRIV BB粉 UV POWDER 控油防曬粉 超強去印預防暗瘡UVA&UVB雙重防曬	非廠商/江蔚君		09 11 2015 12:00AM		廣告內容誇大不實	03 12 2015 12:00AM	網路	露天拍賣	輔導結案	
護蕾健絲按摩洗髮精200ml	華拓藥品有限公司/		08 10 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 13 2015 12:00AM	網路	yahoo	未違規結案	
銀耳豐潤乳液	百龍生物科技股份有限公司/		08  3 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 19 2015 12:00AM	網路	百龍生物科技股份有限公司	未違規結案	
銀耳保溼精華露	百龍生物科技股份有限公司/		08  3 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 19 2015 12:00AM	網路	百龍生物科技股份有限公司	未違規結案	
銀耳保溼防曬乳	百龍生物科技股份有限公司/		08  3 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 19 2015 12:00AM	網路	百龍生物科技股份有限公司	未違規結案	
英國NAPIER蚊蟲再見清爽防護乳	英象有限公司/		07 14 2015 12:00AM		無違規	05 21 2015 12:00AM	網路	LAVID	未違規結案	
藻復元凝膠	中華海洋生技股份有限公司/		07 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 22 2015 12:00AM	網路	SNQ健康優購網	未違規結案	
保濕活顏菁萃	合耕生農開發有限公司/謝鎮陽		06 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 22 2015 12:00AM	網路	FORMOSA HINOKI	未違規結案	
現貨泰國超人氣商品Pasjel妊娠紋肥胖紋修復霜 50g	非廠商/鄭鈺潔		06 26 2015 12:00AM		廣告違規	05 13 2015 12:00AM	網路	露天拍賣網站	輔導結案	
現貨 韓國 正品 九朵雲 馬油霜	非廠商/鄭鈺潔		06 26 2015 12:00AM		廣告違規	05 13 2015 12:00AM	網路	露天拍賣網站	輔導結案	
KIEHL'S 藍色青春痘調理凝膠15ML	台灣萊雅股份有限公司/施洛朗		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  6 2015 12:00AM	網路	gohappy	未違規結案	
《Realwoman》加拿大冰河敷面泥	語緹國際行銷有限公司/		07 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02  6 2015 12:00AM	網路	gohappy	未違規結案	
《Realwoman》海藻敷面泥	語緹國際行銷有限公司/		07 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02  6 2015 12:00AM	網路	gohappy	未違規結案	
韓國美妝IOPE/防紫外線柔和消炎防曬霜SPF25・PA++	有樂數位媒體事業股份有限公司/		10 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02  6 2015 12:00AM	網路	gohappy	未違規結案	
【KANEBO佳麗寶】DEW SUPERIOR 冬季滋潤防護組	寶美康股份有限公司/		07  8 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	02  6 2015 12:00AM	網路	gohappy	未違規結案	
蜜兒蔻蘭鑽凝露精華面膜	逆時奇肌國際有限公司/		08 17 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	05 25 2015 12:00AM	網路	逆時奇肌	未違規結案	
現貨💗日本限定款👍超強瘦腿.舒緩.動脈曲張多功能襪💗100%日本親現貨💗日本限定款👍超強瘦腿.舒緩.動脈曲張多功能襪💗100%日本親自帶貨💗 尺寸：M~L自帶貨💗 尺寸：M~L	非廠商/吳家綺		06 24 2015 12:00AM		廣告違規	03  2 2015 12:00AM	網路	露天拍賣網站	輔導結案	
*~*非比尋嘗*~* 【arin氧潤藥妝】杏仁酸微剝煥膚精華 (10%)15ml	Y1710959871/林麗雀		06 22 2015 12:00AM		廣告違規	03  4 2015 12:00AM	網路	奇摩拍賣網站	輔導結案	
蓋絡卡緹 "KELOCOTE""除疤膏" "美國FDA認證" "疤痕" "藥膏" "15g"	非廠商/歐修汎		01 12 2016 12:00AM		無照藥商	11 11 2015 12:00AM	網路	露天拍賣	輔導結案	
鱷梨油隨手包洋芋片(BBQ風味)	迦淂浰股份有限公司/鄭宗民		01 11 2016 12:00AM		廣告違規	11 15 2015 12:00AM	網路	統一超商線上購物中心	輔導結案	
【Ying平價商城】2015年韓國魅穎魔白 眉白防曬隔離三效合一身體乳 擦擦白 全身白 TR霜 亮白霜	張素螢/		02 15 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	11 11 2015 12:00AM	網路	露天拍賣	未違規結案	
樂樂商業社-泰國豐胸按摩霜-然禧天美容豐胸按摩霜.	傑森商業社/劉文傑		02 17 2016 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容誇大不實廣告違規	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	未違規結案	
Morirosen瘦腿霜第二代新款 黃金瘦腿霜 *現貨供應	上明品商行/余上明				刊播未申請核准之廣告	12 28 2015 12:00AM	網路		輔導結案	
韓國 su:m37°呼吸 三合一 氧氣泡泡面膜3ml 【RH shop】	睿宣精品有限公司/李崇暉		02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	未違規結案	
韓國 About Me 去黃神器 檸檬去黃明亮按摩霜 檸檬排毒明亮按摩霜 150ML【岡山真愛香水】	真愛香水化妝品有限公司/蔡依臻		03  3 2016 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	未違規結案	
♥ 朵拉♥【韓國About me】去黃神器檸檬排毒明亮按摩霜 150ml 買大送小	佳品百貨有限公司/陳芊妏		02 19 2016 12:00AM		刊播未申請核准之廣告	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	輔導結案	
雅詩蘭黛 紅石榴洗面乳 .125ml.特價	傑森商業社/劉文傑		02 17 2016 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容誇大不實廣告違規	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	未違規結案	
韓國【NOKDU】綠豆有機深層排毒面膜【 imselene英絲林】	高莉雅娜生技有限公司/林孝宗		01 27 2016 12:00AM		廣告內容宣稱誇大療效	12 28 2015 12:00AM	網路	YAHOO！奇摩超級商城	輔導結案	
素柔痘痘霜 周年慶買一送一 (共二盒)	索爾數位行銷有限公司/		02 18 2016 12:00AM		廣告違規	12 29 2015 12:00AM	網路	YAHOO！奇摩超級商城	輔導結案	
樂荷市集 Srann天然雨水冷製手工皂 薑黃/乾性肌	翔億科技有限公司/吳三才		02 24 2016 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	12 29 2015 12:00AM	網路	YAHOO！奇摩超級商城	未違規結案	
全美DR's Secret皙之密保養品	非廠商/林芳妃		12 31 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效刊播未申請核准之廣告	08 20 2015 12:00AM	網路	臉書	未違規結案	
全美DR's Secret皙之密保養品	非廠商/卜云淇		12 31 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效刊播未申請核准之廣告	08 20 2015 12:00AM	網路	臉書	未違規結案	
韓國熱賣 I.P.I MEDIHEAL 美迪惠爾 美白抗皺面膜 X3高效美白面膜 單片 2015版	非廠商/曾嘉慧				廣告內容誇大不實廣告違規	11 25 2015 12:00AM	網路		輔導結案	
現貨 韓國空運 熱銷商品 APRIL SKIN Magic Stone 魔法石 大理石洗顏皂 日夜都有	非廠商/曾嘉慧		02 17 2016 12:00AM		廣告違規	12 25 2015 12:00AM	網路	露天拍賣	輔導結案	
蘭蔻 絕對完美玫瑰修護霜	凱絡媒體服務股份有限公司/	台北市	04  7 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  1 2016 12:00AM	平面媒體	蘋果日報	未違規結案	
雅詩蘭黛 特潤雙層超導修護面膜	香港商群邑有限公司台灣分公司/	台北市	03  7 2016 12:00AM		廣告違規	01  7 2016 12:00AM	平面媒體	壹週刊	輔導結案	
潘婷 乳液修護潤髮精華素、乳液修護洗髮乳、乳液修護深層滋潤髮膜	香港商陽獅銳奇媒體股份有限公司台灣分公司星傳媒體事業處/	台北市	03  8 2016 12:00AM		廣告違規	01  7 2016 12:00AM	平面媒體	壹週刊	輔導結案	
香奈兒奢華精質重生乳霜	香港商群邑有限公司/傳立/	台北市	01  5 2016 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	01  5 2016 12:00AM	平面媒體		未違規結案	
伊麗莎白雅頓 時空彈力植萃能量潔顏油、時空彈力保濕賦活霜、奇肌超導活妍精華、艾地苯奢華肌密精粹、黃金導航膠囊60顆	奇宏策略媒體有限公司/	台北市	04  7 2016 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	01  5 2016 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
黛珂 AQ完美精質日夜雙效精萃、完美精質賦活眼霜	臺灣高絲股份有限公司/	台北市	03  7 2016 12:00AM		廣告違規	01  5 2016 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
海洋拉娜 創世紀原晶極萃	香港商群邑有限公司台灣分公司/	台北市	03  9 2016 12:00AM		廣告違規	01 15 2016 12:00AM	平面媒體	蘋果日報	相關案件已處分	
海洋拉娜 創世紀原晶極萃	美商雅詩蘭黛股份有限公司台灣分公司/	台北市	04 12 2016 12:00AM		廣告違規	01 15 2016 12:00AM	平面媒體	自由時報	相關案件已處分	
LANCOME 超緊顏5D太空抗皺日霜	台灣萊雅(股)公司- Lancome/	台北市	03  8 2016 12:00AM		廣告違規	01  1 2016 12:00AM	平面媒體	ELLE 她	輔導結案	
雅詩蘭黛 特潤雙層超導修護面膜	雅詩蘭黛股份有限公司台灣分公司/	台北市	03  7 2016 12:00AM		廣告違規	01  1 2016 12:00AM	平面媒體	ELLE 她	相關案件已處分	
海洋拉娜 創世紀原晶極萃	美商怡佳/	台北市	03  9 2016 12:00AM		廣告違規	01  1 2016 12:00AM	平面媒體	ELLE 她	相關案件已處分	
Dr Sebagh 逆時空核心精華、玫瑰特效活妍精露、高校抗紋精華、極鑽賦活能量精萃、鉑金膠肽奇肌安瓶、無齡極緻精萃、超時空4DV臉精華	台灣蜜納國際股份有限公司/	台北市	04  1 2016 12:00AM		刊播未申請核准之廣告	01  1 2016 12:00AM	平面媒體	VOGUE時尚	輔導結案	
vitoas 多效極妍鎖濕菁華	博報堂/	台北市	04 12 2016 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 25 2016 12:00AM	平面媒體	聯合報	輔導結案	
杜克N ˙ 新A醇淡斑精華液	巴爾桑波有限公司/	臺北市	03  7 2016 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 11 2016 12:00AM	平面媒體	柯夢波丹 國際中文版	輔導結案	
雅詩蘭黛特潤雙層超導修護面膜	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	02 18 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 13 2016 12:00AM	平面媒體	時尚女王	未違規結案	
潘婷乳液修護潤髮精華素	寶僑家品股份有限公司/	臺北市	03  8 2016 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 11 2016 12:00AM	平面媒體	ELLE TAIWAN 她雜誌	未違規結案	
RMK輕柔空氣感粉餅	東方美企業股份有限公司/	臺北市	02  2 2016 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	01 11 2016 12:00AM	平面媒體	ELLE TAIWAN 她雜誌	未違規結案	
雅詩蘭黛特潤雙層超導修護面膜	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	02 18 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 14 2016 12:00AM	平面媒體	美麗佳人	未違規結案	
LA MER創世紀原晶極萃等產品	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	02 18 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 14 2016 12:00AM	平面媒體	時報周刊	未違規結案	
海洋拉娜創世紀原晶極萃	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	02 18 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 15 2016 12:00AM	平面媒體	蘋果日報	未違規結案	
海洋拉娜創世紀原晶極萃	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	02 18 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 15 2016 12:00AM	平面媒體	自由時報	未違規結案	
時間寵愛頂級醫美系列	雲山國際生技股份有限公司/	臺北市	03  8 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 18 2016 12:00AM	平面媒體	CHOC恰女生	未違規結案	
全新雅詩蘭黛Nrf2超智慧眼霜	美商雅詩蘭黛股份有限公司台灣分公司/	臺北市	01 20 2016 12:00AM		廣告違規	01  8 2016 12:00AM	平面媒體	ELLE TAIWAN 她雜誌	相關案件已處分	
玫瑰特效活妍精露	台灣蜜納國際有限公司/張耀煌	臺北市	01  1 2016 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	01 20 2016 12:00AM	平面媒體		未違規結案	
ELIZABETH ARDEN完美綻放光采清透亮白肌	荷蘭商伊麗莎白雅頓有限公司台灣分公司/	臺北市	01  1 2016 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	01 13 2016 12:00AM	平面媒體		未違規結案	
Olay 多元修護日霜	達睿思公關/	臺北市	03  8 2016 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 15 2016 12:00AM	平面媒體	醫美時尚Dr.BEAUTY	未違規結案	
精油沐浴凝膠	台灣雅沛實業有限公司/	臺北市	03 11 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 13 2016 12:00AM	平面媒體	弗客化妝品	未違規結案	
水盈乳液(滋潤)	以勒公關顧問有限公司/	臺北市	04 13 2016 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 18 2016 12:00AM	平面媒體	醫美時尚Dr.BEAUTY	未違規結案	
JURLIQUE植萃活齡抗老系列	台灣蜜納國際股份有限公司/	臺北市	03 25 2016 12:00AM		刊播未申請核准之廣告	02 16 2016 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版	輔導結案	
