分類,標題,內容,附檔連結,發布日期
"醫療器材","有人說熱敷墊可以治療頭痛，這是真的嗎？","解答： 有人說在頭部使用熱敷墊可以治療頭痛，這是真的嗎？ (1) 熱敷可以提升患處的溫度，使血管擴張，促進血液循環，增加身體代謝效率，以達到緩解痠痛、舒緩肌肉等功用。然而頭部使用熱敷墊會造成顱內壓升高，導致頭痛、噁心、眼花，甚至腦充血，因此切勿使用熱敷墊於頭部。 (2) 使用熱敷墊前，應先經專業醫師診斷認為需要熱療。使用時一定要記得注意溫度、時間及使用位置，熱敷墊若直接接觸到皮膚表面時，溫度應於45℃以下，若是熱敷墊與皮膚間隔著毛巾衣物，熱敷溫度可調高至50℃。熱敷時間不能太久，通常約15至20分鐘即可，否則容易造成局部燙傷。手腳部位皮膚較厚，對溫度的耐受度較高，若是在皮膚較嫩的部位(如：脖子)，對熱的耐受度較低，需特別注意避免燙傷。 參考資料： 食藥署「熱敷墊使用小叮嚀 提高使用熱敷效果」 http://www.fda.gov.tw/upload/133/2015071609262219978.pdf 食藥署「溫柔的掌心~熱敷墊」 http://www.fda.gov.tw/upload/133/2014082814560728170.jpg 慈濟醫院衛教宣導 http://dl.tzuchi.com.tw/chi/node/85 國家網路醫院 http://hospital.kingnet.com.tw/essay/essay.html?pid=44784","","02 2 2017"
"食品","無花果不能吃，是真的嗎？","解答： (1)有關謠言中提及的無花果原料是用青木瓜、爛木瓜製成，且製作過程中工人會用腳掌去揉踩的情形，經向「台灣區蜜餞工業同業公會」查詢，市面上無花果蜜餞產品所使用的原料有天然「無花果」與「木瓜」兩種。產品若是使用天然無花果做為原料，其成品外觀為完整圓形顆粒狀，目前國內並無生產，多是由東南亞進口成品進行分裝，此類產品為保持產品良好之形狀，不會用腳揉踩，否則即會破壞其外觀。 (2)市售乾燥細條狀，品名稱為無花果之產品，其原料與植物分類上所稱之無花果無關，而是使用「木瓜」做為原料，多由東南亞進口，目前已運用機器設備製造，並不需要以人工腳踏方式生產。 (3)國內生產之產品，衛生單位會不定期抽查檢驗，若發現有違反食品衛生相關法規者，皆依法處辦。 (4)進口食品原料或成品，於輸入時經由食藥署區管中心抽驗，如有不符規定者，食藥署亦會依法處置。 (5)「無花果」蜜餞產品若是使用木瓜等其他原料替代，而使用「無花果」做為產品名稱，則必須在產品外包裝標示上註明所含之內容物成分（如內容物：木瓜）。 (6)消費者在選購食品時，應注意產品標示是否完整，凡成分不明或業者名稱、地址不完全者，切勿購買。如發現有不法之食品製造廠或食品，均可藉由食藥署「署長信箱」或向各轄區衛生局檢舉不法情事。","","06 11 2015"
"食品","大蒜洋蔥加熱後會變成致癌物，是真的嗎？","解答： (1)目前並無相關科學文獻資料顯示大蒜或洋蔥加熱後會形成致癌物，且學理上亦無證據支持，但若是因調理出現燒焦的部分則應去除，不宜食用。 (2)美國癌症研究協會於89年10月公布之「十五條守則 讓你遠離癌症」資料摘要中第十條亦指出，要遠離癌症，飲食中應「不吃燒焦食品」，因此燒烤食物時烤焦的部分，建議不要食用，以免危害健康。","","06 11 2015"
"食品","少吃勾芡食物對身體比較好，是真的嗎？","解答： (1)目前市面上多以太白粉作為勾芡的主要材料，而其以樹薯塊根為原料，經加工提煉澱粉製成。新鮮的樹薯塊根含有微量且具有毒性的氰酸，但在加工提煉樹薯澱粉之過程中，已將氰酸減至相當低量，而經過食物烹煮之步驟後，可再降低氰酸量，因此不致對人體產生毒害。 (2)另外，勾芡食物通常含較高之油脂、鹽分及糖分，對於糖尿病及痛風患者而言，應少攝取勾芡食物。糖尿病患者應少吃含油脂高的食物，飲食儘量清淡不可過鹹，且少吃富含精緻糖類的食品；痛風患者因須維持理想體重，而高油脂飲食與肥胖有密切的關係，因此痛風患者應少吃油脂含量高的食物。","","06 11 2015"
"食品","牛排、燒仙草使用嫩化劑會致癌，是真的嗎？","解答： (1)「嫩精」為嫩化劑的俗稱。食肉的嫩化劑，通常是指蛋白質分解酵素，如木瓜酵素（papain）、鳳梨酵素（bromelain）等屬於植物性蛋白質分解酵素；另弱酸（如食醋、檸檬果汁）或2%氯化鈉也能嫩化肉品。 (2)食用肉品的嫩化，分為人為的嫩化（主要是使用『蛋白質分解酵素』之處理，嫩化作用之蛋白質分解酵素，稱為『嫩化劑tenderizer』，用於調理前之處理。一般市售之嫩精即屬此類）與自然的嫩化（主要是利用肉中的蛋白質分解酵素的作用，但肉色、肉質、風味等會降低）。 (3)食藥署訂定之「食品添加物使用範圍及限量暨規格標準」中，列於第十七類（其他）之第六項『酵素製劑』，可於各類食品中視實際需要適量使用，但限於食品製造或加工必須時使用，目前並無相關研究報告顯示嫩化劑具有致癌的可能。 延伸閱讀： 食品添加物使用範圍及限量暨規格標準http://consumer.fda.gov.tw/Law/FoodAdditivesList.aspx？nodeID=521","","06 11 2015"
"食品","常吃三明治會導致癌症，是真的嗎？","解答： (1)市售三明治中火腿、培根、香腸等加工肉品，會添加亞硝酸鹽及硝酸鹽來維持產品色澤，同時抑制肉毒桿菌的生長，防止肉毒桿菌中毒事件的發生。 (2)依據「食品添加物使用範圍及限量暨規格標準」，第(五)類保色劑之亞硝酸鹽類或硝酸鹽類，可用於肉製品及魚肉製品，用量以NO2殘留量計為0.07 g/kg以下，業者需依規範使用硝酸鹽及亞硝酸鹽，以確保民眾食用健康。 延伸閱讀： 食品添加物使用範圍及限量暨規格標準http://consumer.fda.gov.tw/Law/FoodAdditivesList.aspx？nodeID=521","","06 11 2015"
"食品","蜜餞中使用糖精、苯甲酸和二氧化硫，會致癌，是真的嗎？","解答： (1)依據食藥署訂定「食品添加物使用範圍及限量暨規格標準」規定，糖精、苯甲酸及二氧化硫等成分，均准許使用於蜜餞產品，但需符合限量規定。 (2)無論國內生產或國外輸入食品，食藥署皆會進行邊境查驗，而各地方衛生局亦對市面上產品不定期抽驗，如發現有使用違法添加物或超量之案件，即依法處辦，因此呼籲消費者應購買有商譽或有CAS認證、標示完整清楚（包括廠商名稱、地址、電話、原料及添加物名稱、有效日期、品名等）的產品，凡來路不明、標示不清、外觀顏色鮮豔、有異物，請拒絕購買，以保障自身消費權益。 延伸閱讀： 食品添加物使用範圍及限量暨規格標準http://consumer.fda.gov.tw/Law/FoodAdditivesList.aspx？nodeID=521","","06 11 2015"
"食品","苜蓿芽會引發自體免疫疾病，是真的嗎？","解答： (1)目前並無相關科學文獻資料顯示苜蓿芽的成分「刀豆胺基酸」，會引發自體免疫疾病，因此切勿聽信謠言。 (2)由於苜蓿芽都是生食較多，所以記得清洗乾淨後再食用較為適當。建議民眾想要保持健康，每日應注意均衡的飲食及維持良好的生活習慣。至於罹患全身性紅斑性狼瘡的患者，如有需要請再請教醫院營養師或專業醫師做進一步諮詢。","","06 11 2015"
"食品","蕃茄含有可致死之龍葵鹼物質，是真的嗎？","解答： (1)衛生福利部曾函請臺北榮民總醫院協助提供專業意見，表示蕃茄和馬鈴薯皆屬於茄科(Solanacease)植物，茄科植物一般皆含有毒的生物鹼，故未成熟或發芽的馬鈴薯含有高量之有毒生物鹼，的確會引發中毒。但是成熟的馬鈴薯中該生物鹼之含量很低，不致引起中毒的現象。 (2)而蕃茄中之生物鹼(α-tomatine)和馬鈴薯所含有之生物鹼(α-solanine)結構式不完全相同，依現有證據來看，該生物鹼之毒性應比馬鈴薯生物鹼低，且成熟蕃茄中含生物鹼量低，目前也未見有食用蕃茄果實造成人體中毒之文獻報告，一般而言，人體可以有效排除這些生物鹼而不受影響。 (3)綜上所述，日常一般性食用蕃茄不至於導致中毒狀況，另外蕃茄含有大量的營養素，營養價值仍是被肯定的，因此民眾不需特別限制避食蕃茄。","","06 11 2015"
"醫療器材","醫用口罩正確戴法：病患白色防護層朝內、綠色朝外；健康者白色防護層朝外，綠色朝內，這是真的嗎？","解答： (1)醫用口罩依照不同功能與設計，分為執行手術穿戴的外科醫用口罩(屬第2等級醫療器材)及其他醫用口罩(屬第1等級醫療器材)，醫用口罩主要是用來阻擋飛沫接觸口鼻的用具，防止病患與醫護人員之間微生物、體液及粒狀物質的傳遞與感染。 (2)醫用口罩使用上應注意口罩的正反面，一般有色面朝外，白色面朝內，正確的配戴方式，建議民眾應以產品標示的使用方法配戴，或至食品藥物管理署網站之許可證資料庫查詢產品「仿單/外盒」資訊。 相關連結： 西藥、醫療器材、含藥化粧品許可證查詢作業http://ppt.cc/U6AAW","","06 11 2015"
"醫療器材","使用衛生棉條恐感染致命，是真的嗎？","解答： (1)棉條造成感染的原因與棉條本身的吸收力以及放在陰道的時間有關係，吸收力愈強，容易造成陰道黏膜乾裂，而失去保護，也因為吸收力好，使用者放在陰道的時間就會愈久，造成感染的機會就愈高。在1990年以前，棉條曾經是造成毒性休克症候群(Toxic shock syndrome, TSS)的主要原因之一，其主要與金黃葡萄球菌的感染有關；1990年後棉條的吸收力(absorbency)有了明確的規範，廠商需把吸收力標示在包裝上，如此一來就算使用不同廠牌的棉條，也就很容易可以選擇相同吸收力的類型。 (2)TSS是一種少見但卻可能致命的全身性疾病，病程進展很快，主要是由金黃色葡萄球菌感染所致，病菌會經由傷口進入人體的循環系統，其所產生的外毒素會使血管滲透壓增加，而引起全身起疹子、發燒、拉肚子，甚至導致多重器官衰竭。 如何避免使用衛生棉條所引起的TSS： (1)正確地使用衛生棉條減少感染的風險。包含了使用棉條前一定要先洗手，以及上廁所時要遵守由前往後擦的好習慣，並於4~8小時內更換。 (2)依自己的經血量，選擇適合的衛生棉條。如果流量比較大，應選用吸收力較強的。相反，如棉條不易取出，或使用後覺得陰道乾澀，棉條碎裂，或是八小時以上都不需要更換，建議改用吸收力較低的類型。 (3)從事水上活動或是游泳時棉條會吸水，所以建議在游泳後應予更換，以免增加感染的機會。 (4)陰道發炎時，建議應於治療痊癒後再使用。 (5)如使用期間突然有發高燒，畏寒，全身發紅、腹瀉、頭暈、臉色蒼白、嘔吐、持續的下腹痛(要與經痛區別)等情況，有可能是感染的症狀，應馬上就醫檢查。","","06 11 2015"
"醫療器材","排卵試紙可以當驗孕試紙使用，甚至能更早發現懷孕，是真的嗎？","解答： (1)排卵試紙和驗孕試紙所測試的激素並不相同。「排卵試紙」是測女性體內的黃體生成素(LH)；「驗孕試紙」則是測試胚胎滋養層細胞產生的絨毛膜促性腺素(hCG)。 (2)LH是由腦垂體產生的一種激素，平常一般女性體內即會製造少量的LH。在排卵前，則會製造較多的LH，排卵試紙即是利用檢測這個LH高峰期（通常發生在排卵前的1-1天半）來預測排卵日期。 (3)hCG則是由胎盤產生的一種激素，一旦胚胎附著於子宮壁後， hCG會迅速增加，所以可利用檢測hCG來評估女性是否懷孕。 (4)由此可知，排卵試紙和驗孕試紙的檢測標的及產品用途並不相同，「排卵試紙」可以用於幫助計劃懷孕，但不應該用於評估是否懷孕，利用LH檢測結果來推測是否懷孕是不正確的作法。","","06 11 2015"
"食品","微波爐加熱食物對人體健康有害嗎，是真的嗎？","解答： 微波加熱食品之原理為利用電磁波激化食物中之水分及極化物質，使其產生摩擦生熱，適當使用不致產生有害的物質。但需注意的是微波時，所使用盛裝的食品容器材質是否可以用來微波，以避免產生有毒物質。 延伸閱讀： 食品容器、器具、包裝衛生標準http://www.fda.gov.tw/TC/site.aspx？sid=3462","","06 25 2015"
"食品","青菜含硝酸鹽會轉變為亞硝酸鹽而導致中毒，是真的嗎？","解答： (1)亞硝酸鹽為無味、白色結晶或粉末的化學物質，攝入超過容許量可能會造成變性血紅素血症(methemoglobinemin)，世界衛生組織（WHO）公布成人每日可耐受之食入量為0.4mg/kg。 (2)目前亞硝酸鹽在食品添加物中作為保色劑之功用，例如亞硝酸鉀可用於肉製品與魚肉製品，用量以NO2殘留量計為0.07g/kg以下。如不添加亞硝酸則無法抑制肉毒桿菌生長而造成肉毒桿菌中毒。而食藥署亦曾函請臺北榮民總醫院毒藥物諮詢中心查詢相關文獻，結果顯示並沒有發現因青菜含亞硝酸鹽或硝酸鹽而致死或傷害的醫學報告。","","06 25 2015"
